id,DataID,ClassName,datatype,uniqueid,name,latitude,longitude
3041,254,School,SCH,SCH254,GGPS KHARALA KHURD,33.54052654,72.58510888
3042,255,School,SCH,SCH255,GGPS NAWA GIRAN,33.55416119,72.48713851
3043,256,School,SCH,SCH256,GMPS KOTEHRA,33.5744065,72.48397887
3044,257,School,SCH,SCH257,GES GULYAL,33.50518405,72.51957178
3045,258,School,SCH,SCH258,GES KHARALA KALAN,33.55010007,72.59788355
3046,259,School,SCH,SCH259,GPS CHAK FATEH KHAN,33.58629356,72.51121239
3047,260,School,SCH,SCH260,GPS DHOK JAT,33.50372248,72.50127033
3048,261,School,SCH,SCH261,GPS DHOK KEER,33.50545228,72.55473554
3049,262,School,SCH,SCH262,GPS DHOK LANGRIAL,33.55315122,72.45490497
3050,263,School,SCH,SCH263,GPS DHOK RANJHA,33.61859767,72.40878783
3051,264,School,SCH,SCH264,GPS GAGAN,33.53322889,72.48814253
3052,265,School,SCH,SCH265,GPS GAROO,33.52496269,72.54190516
3053,266,School,SCH,SCH266,GPS ICHRIAL,33.52512115,72.46977928
3054,267,School,SCH,SCH267,GPS JAFFAR,33.54689777,72.54203796
3055,268,School,SCH,SCH268,GGCMS DHOK SYEDAN,33.52449988,72.64507086
3056,269,School,SCH,SCH269,GGES DHOK GHIAN,33.48371548,72.83811661
3057,270,School,SCH,SCH270,GGES KAK CHOUDHARY,33.5293136,72.83949603
3058,271,School,SCH,SCH271,GGES MIAN RASHIDA,33.5351411,72.83439376
3059,272,School,SCH,SCH272,GGPS ARRORIA,33.46229017,72.67648637
3060,273,School,SCH,SCH273,GGPS BADRA SHARQI,33.56043756,72.67758608
3061,274,School,SCH,SCH274,GGPS DHOK NAMDAR,33.56046043,72.69285837
3062,275,School,SCH,SCH275,GGPS DOULAT PUR,33.52545083,72.77412951
3063,276,School,SCH,SCH276,GGPS JANGLE,33.51728447,72.81507585
3064,277,School,SCH,SCH277,GGPS LASSA,33.45841988,72.69955035
3065,278,School,SCH,SCH278,GGPS MALIK PUR,33.46939459,72.7026769
3066,279,School,SCH,SCH279,GGPS MANIAN WALA,33.5365703,72.80343381
3067,280,School,SCH,SCH280,GGPS SOAK,33.505701,72.67835839
3068,281,School,SCH,SCH281,GMES LUDHIAL,33.50784399,72.82358723
3069,282,School,SCH,SCH282,GGES GHAKHAR,33.64287812,72.62131427
3070,283,School,SCH,SCH283,GGPS AMIR KHAN,33.64074826,72.67748415
3071,284,School,SCH,SCH284,GGPS BALRAH,33.6810439,72.6674994
3072,285,School,SCH,SCH285,GGPS BEHLOT,33.69346017,72.7404776
3073,286,School,SCH,SCH286,GGPS DHOK BALOCH,33.63895835,72.65576599
3074,287,School,SCH,SCH287,GGPS JHANG,33.67383871,72.69372833
3075,288,School,SCH,SCH288,GGPS KARIMA,33.64936888,72.70356596
3076,289,School,SCH,SCH289,GGPS NAIKA,33.65785539,72.68261254
3077,290,School,SCH,SCH290,GGPS PIND BHADUR KHAN,33.70609492,72.69040411
3078,291,School,SCH,SCH291,GGPS TARBHATI JHANG,33.65583287,72.72177088
3079,292,School,SCH,SCH292,GMPS BHAGVI,33.67602468,72.67489851
3080,293,School,SCH,SCH293,GES BAHTAR,33.67798158,72.64404651
3081,294,School,SCH,SCH294,GES BEHLOT,33.69316936,72.74062335
3082,295,School,SCH,SCH295,GES GAKHAR,33.63743145,72.62090009
3083,296,School,SCH,SCH296,GES KARIMA,33.64620341,72.70322867
3084,297,School,SCH,SCH297,GPS AMIR KHAN,33.6379681,72.67545913
3085,298,School,SCH,SCH298,GPS BAHLOL,33.680107,72.64869869
3086,299,School,SCH,SCH299,GPS DHOK BALOCH,33.64142309,72.65603825
3087,300,School,SCH,SCH300,GPS GARI HASOO KHAN,33.59037189,72.67814378
3088,301,School,SCH,SCH301,GPS JHANG,33.67454586,72.69413908
3089,302,School,SCH,SCH302,GPS JOHAD,33.65859032,72.74015129
3090,303,School,SCH,SCH303,GPS NAIKA,33.65910241,72.68587715
3091,304,School,SCH,SCH304,GPS PATHAN KOT,33.67954373,72.66637444
3092,305,School,SCH,SCH305,GPS PERO SHAHI,33.66893309,72.65204775
3093,306,School,SCH,SCH306,GPS PIND BAHDAR KHAN,33.70301248,72.69596923
3094,307,School,SCH,SCH307,GGCMS KOT FATEH KHAN,33.46437156,72.49568403
3095,308,School,SCH,SCH308,GGES DEWAL,33.43217799,72.48291534
3096,309,School,SCH,SCH309,GGES GADDA,33.47188747,72.54048306
3097,310,School,SCH,SCH310,GGES KAMRA FATEH JANG,33.42499137,72.41056681
3098,311,School,SCH,SCH311,GGES LUND,33.39098222,72.48499917
3099,312,School,SCH,SCH312,GGPS BAJAL,33.43708277,72.46423244
3100,313,School,SCH,SCH313,GGPS DHOK FIDA HUSSAIN,33.49201676,72.50505707
3101,314,School,SCH,SCH314,GGPS DHOK JAT,33.50287914,72.49039477
3102,315,School,SCH,SCH315,GGPS DOHRIAN,33.41239572,72.44737744
3103,316,School,SCH,SCH316,GGPS PAGH,33.45236599,72.50733018
3104,317,School,SCH,SCH317,GGPS SUBJAL,33.51299674,72.4564106
3105,318,School,SCH,SCH318,GGPS ZAMEEN BAJAL,33.48337151,72.45306953
3106,319,School,SCH,SCH319,GMPS DHOK KIVIRIAN,33.4607774,72.47073948
3107,320,School,SCH,SCH320,GMPS KOT BALA,33.48377466,72.49386013
3108,321,School,SCH,SCH321,GES DEWAL,33.43654444,72.48119315
3109,322,School,SCH,SCH322,GES KAMRA FATEH JANG,33.42555027,72.40033485
3110,323,School,SCH,SCH323,GES PAGH,33.44577679,72.50963305
3111,324,School,SCH,SCH324,GPS BAJAL,33.44037652,72.4633956
3112,325,School,SCH,SCH325,GPS DHOK AHMED KHAN,33.46251547,72.43596196
3113,326,School,SCH,SCH326,GPS DHOK CHACH,33.4833616,72.4529779
3114,327,School,SCH,SCH327,GPS DHOK FIDA HUSSAIN,33.48514986,72.51316412
3115,328,School,SCH,SCH328,GPS DHOK KANJAN,33.43584285,72.42404753
3116,329,School,SCH,SCH329,GPS ISMAIL,33.44003856,72.55158126
3117,330,School,SCH,SCH330,GPS KOT FATEH KHAN,33.46532575,72.50756388
3118,331,School,SCH,SCH331,GPS LANI WALA,33.45470955,72.54606571
3119,332,School,SCH,SCH332,GPS SHAH RAI BAHADAR,33.46824358,72.59594629
3120,333,School,SCH,SCH333,GPS SUBJAL,33.51263686,72.45558773
3121,334,School,SCH,SCH334,GGES DULHAL,33.42117727,72.52503812
3122,335,School,SCH,SCH335,GGES MAKI DHOK,33.41315937,72.55966291
